X	Y	1-Y									
mm	cap	8.008-cap									
0.080703735	8.002539	0.005461									
0.17169952	8.004365	0.003635									
0.24469757	8.005186	0.002814									
0.34770203	8.005656	0.002344									
0.42569733	8.005979	0.002021									
0.53970337	8.00621	0.00179									
0.646698	8.006359	0.001641									
0.722702	8.006507	0.001493									
0.8487015	8.006608	0.001392									
0.9707031	8.006709	0.001291									
1.0636978	8.006797	0.001203									
1.1756973	8.006875	0.001125									
1.2736969	8.006921	0.001079									
1.370697	8.006991	0.001009									
1.4266968	8.007021	0.000979									
1.5397034	8.007069	0.000931									
1.6716995	8.007103	0.000897									
1.7736969	8.007131	0.000869									
1.8467026	8.007173	0.000827									8.008 - cap = 0.001214455*x^(-0.58093536)
1.9546967	8.007202	0.000798									
2.0447006	8.007211	0.000789									y=8.008-0.001214455*x^(-0.58093536)
2.160698	8.007248	0.000752									
2.259697	8.00727	0.00073									
2.3487015	8.007284	0.000716									
2.4256973	8.007313	0.000687									
2.5737	8.007321	0.000679									
2.6407013	8.007336	0.000664									
2.7266998	8.007356	0.000644									
2.8696976	8.007377	0.000623									
2.9216995	8.007388	0.000612									
3.0496979	8.00739	0.00061									
3.1807022	8.007404	0.000596									
3.2477036	8.007404	0.000596									
3.3946	8.007427	0.000573									
3.446701	8.007439	0.000561									
3.521698	8.00743	0.00057									
3.6746979	8.007447	0.000553									
3.785698	8.007461	0.000539									
3.8177032	8.00746	0.00054									
3.9707031	8.007483	0.000517									
4.0597	8.007486	0.000514									
4.1756973	8.007495	0.000505									
4.283699	8.007493	0.000507									
4.3227005	8.007498	0.000502									
4.4597015	8.007506	0.000494									
4.5656967	8.007507	0.000493									
4.6847	8.007518	0.000482									
4.762703	8.00752	0.00048									
4.8246994	8.00753	0.00047									
4.9897003	8.007534	0.000466									
5.0186996	8.007541	0.000459									
5.146698	8.007544	0.000456									
5.248703	8.007549	0.000451									
5.342697	8.00755	0.00045									
5.4636993	8.007556	0.000444									
5.578697	8.007555	0.000445									
5.621704	8.007559	0.000441									
5.7357025	8.00756	0.00044									
5.870697	8.007565	0.000435									
5.9226	8.007571	0.000429									
6.0486984	8.007569	0.000431									
6.1696014	8.007584	0.000416									
6.2696	8.007586	0.000414									
6.347603	8.007586	0.000414									
6.479599	8.007588	0.000412									
6.562599	8.0076	0.0004									
6.6605988	8.007597	0.000403									
6.7615967	8.007603	0.000397									
6.8575974	8.007604	0.000396									
6.9476013	8.007612	0.000388									
7.081604	8.007605	0.000395									
7.1595993	8.007606	0.000394									
7.248604	8.007609	0.000391									
7.376602	8.007612	0.000388									
7.453598	8.007626	0.000374									
7.5755997	8.007616	0.000384									
7.6516037	8.007622	0.000378									
7.7475967	8.007621	0.000379									
7.873604	8.00762	0.00038									
7.9636	8.00764	0.00036									
8.058601	8.007634	0.000366									
8.163597	8.007624	0.000376									
8.240601	8.007632	0.000368									
8.362602	8.007632	0.000368									
8.484604	8.007639	0.000361									
8.521599	8.007638	0.000362									
8.6726	8.007646	0.000354									
8.763603	8.007648	0.000352									
8.848602	8.007648	0.000352									
8.942604	8.007644	0.000356									
9.073601	8.007656	0.000344									
9.1586	8.007645	0.000355									
9.267601	8.007651	0.000349									
9.337601	8.00766	0.00034									
9.4216	8.007652	0.000348									
9.572601	8.007652	0.000348									
9.649597	8.007658	0.000342									
9.717598	8.007655	0.000345									
9.875603	8.007664	0.000336									
9.9506	8.007653	0.000347									
